"fips","state","name","broadband_2017","median_val_owner_occupied_2010","median_household_income_2019"
1001,"Alabama","Autauga County",76.6,133900,58731
1003,"Alabama","Baldwin County",74.5,177200,58320
1005,"Alabama","Barbour County",57.2,88200,32525
1007,"Alabama","Bibb County",62,81200,47542
1009,"Alabama","Blount County",65.8,113700,49358
1011,"Alabama","Bullock County",49.4,66300,37785
1013,"Alabama","Butler County",58.2,70200,40688
1015,"Alabama","Calhoun County",71,98200,47255
1017,"Alabama","Chambers County",62.8,82200,42289
1019,"Alabama","Cherokee County",67.5,97100,41919
1021,"Alabama","Chilton County",56.6,103700,47468
1023,"Alabama","Choctaw County",52.3,63400,35892
1025,"Alabama","Clarke County",47.3,73300,37404
1027,"Alabama","Clay County",66,82900,40845
1029,"Alabama","Cleburne County",57.8,87900,44741
1031,"Alabama","Coffee County",75.3,116700,55637
1033,"Alabama","Colbert County",65.9,94700,48065
1035,"Alabama","Conecuh County",40.7,72500,37837
1037,"Alabama","Coosa County",58.2,73100,38990
1039,"Alabama","Covington County",64.7,85700,42189
1041,"Alabama","Crenshaw County",57.1,71900,43163
1043,"Alabama","Cullman County",65.2,102200,44918
1045,"Alabama","Dale County",69.8,93900,47214
1047,"Alabama","Dallas County",57.7,70300,33845
1049,"Alabama","DeKalb County",61,84400,40440
1051,"Alabama","Elmore County",78.2,136500,60891
1053,"Alabama","Escambia County",54.9,83800,36275
1055,"Alabama","Etowah County",68.4,98200,44637
1057,"Alabama","Fayette County",64.1,71500,39856
1059,"Alabama","Franklin County",60.3,78200,43514
1061,"Alabama","Geneva County",64.3,77200,41732
1063,"Alabama","Greene County",42,71500,24145
1065,"Alabama","Hale County",50.7,70600,34046
1067,"Alabama","Henry County",68.3,89700,50017
1069,"Alabama","Houston County",67.6,116300,47580
1071,"Alabama","Jackson County",62.7,86300,41769
1073,"Alabama","Jefferson County",73,138300,53901
1075,"Alabama","Lamar County",58.3,68200,38364
1077,"Alabama","Lauderdale County",65.4,107400,48094
1079,"Alabama","Lawrence County",55.7,97600,44886
1081,"Alabama","Lee County",78.2,139500,51463
1083,"Alabama","Limestone County",72.5,122300,59686
1085,"Alabama","Lowndes County",47.1,64000,30036
1087,"Alabama","Macon County",52.2,79200,33370
1089,"Alabama","Madison County",81.3,155600,65449
1091,"Alabama","Marengo County",51.2,79000,33241
1093,"Alabama","Marion County",65.8,74700,35930
1095,"Alabama","Marshall County",70.2,101300,45983
1097,"Alabama","Mobile County",69.4,120700,47583
1099,"Alabama","Monroe County",38.9,80400,30441
1101,"Alabama","Montgomery County",75.6,121000,50124
1103,"Alabama","Morgan County",70.1,115300,52156
1105,"Alabama","Perry County",39.8,61000,23447
1107,"Alabama","Pickens County",60.9,81100,39848
1109,"Alabama","Pike County",60.2,93900,37446
1111,"Alabama","Randolph County",64.8,88100,43395
1113,"Alabama","Russell County",63,93300,42443
1115,"Alabama","St. Clair County",72.3,126500,58308
1117,"Alabama","Shelby County",84.5,193900,77799
1119,"Alabama","Sumter County",50.4,66300,24320
1121,"Alabama","Talladega County",65.5,87000,41325
1123,"Alabama","Tallapoosa County",67.9,91300,45828
1125,"Alabama","Tuscaloosa County",75.7,148400,53326
1127,"Alabama","Walker County",62.5,83600,43629
1129,"Alabama","Washington County",53.5,85200,41370
1131,"Alabama","Wilcox County",41.6,54200,31014
1133,"Alabama","Winston County",56.2,83700,35788
2013,"Alaska","Aleutians East Borough",68.2,121600,69250
2016,"Alaska","Aleutians West Census Area",74.1,163400,87466
2020,"Alaska","Anchorage Municipality",87.4,269500,84928
2050,"Alaska","Bethel Census Area",70.6,153400,53553
2060,"Alaska","Bristol Bay Borough",81.3,171100,79808
2068,"Alaska","Denali Borough",89.7,174000,81719
2070,"Alaska","Dillingham Census Area",72.2,199100,56898
2090,"Alaska","Fairbanks North Star Borough",82,206800,76992
2100,"Alaska","Haines Borough",77.2,205400,58059
2105,"Alaska","Hoonah Angoon Census Area",72.1,184200,59803
2110,"Alaska","Juneau City and Borough",87.8,291600,88390
2122,"Alaska","Kenai Peninsula Borough",75.8,193000,66064
2130,"Alaska","Ketchikan Gateway Borough",81.8,242500,72728
2150,"Alaska","Kodiak Island Borough",82.4,182100,85839
2158,"Alaska","Kusilvak Census Area",NA,80300,36754
2164,"Alaska","Lake and Peninsula Borough",60.3,156400,44135
2170,"Alaska","Matanuska-Susitna Borough",85.2,212000,75493
2180,"Alaska","Nome Census Area",67.6,144600,61048
2185,"Alaska","North Slope Borough",67.9,135800,79306
2188,"Alaska","Northwest Arctic Borough",66.8,129000,60906
2195,"Alaska","Petersburg Borough",75.9,195300,69948
2198,"Alaska","Prince of Wales-Hyder Census Area",67.9,152100,52379
2220,"Alaska","Sitka City and Borough",80.4,309800,73682
2230,"Alaska","Skagway",84.2,253700,73906
2240,"Alaska","Southeast Fairbanks Census Area",74.9,168700,70056
2261,"Alaska","Valdez-Cordova Census Area",80.5,165800,79867
2275,"Alaska","Wrangell",74.4,163700,53894
2282,"Alaska","Yakutat City and Borough",69.8,151900,71607
2290,"Alaska","Yukon-Koyukuk Census Area",43.7,99500,41413
4001,"Arizona","Apache County",38.6,80900,32508
4003,"Arizona","Cochise County",76.2,154900,49260
4005,"Arizona","Coconino County",75.3,257700,59460
4007,"Arizona","Gila County",61.6,156100,43524
4009,"Arizona","Graham County",69.8,119500,51353
4011,"Arizona","Greenlee County",75.7,65800,63473
4012,"Arizona","La Paz County",57.7,100000,34643
4013,"Arizona","Maricopa County",81.7,238600,64468
4015,"Arizona","Mohave County",75.9,170600,45587
4017,"Arizona","Navajo County",59.5,134300,40067
4019,"Arizona","Pima County",80.6,198300,53379
4021,"Arizona","Pinal County",77.3,164000,58174
4023,"Arizona","Santa Cruz County",68.2,148200,41259
4025,"Arizona","Yavapai County",78.2,231000,52451
4027,"Arizona","Yuma County",73.1,142400,45243
5001,"Arkansas","Arkansas County",60.1,78900,46696
5003,"Arkansas","Ashley County",59.4,62100,44744
5005,"Arkansas","Baxter County",68.7,118400,42260
5007,"Arkansas","Benton County",59.6,155000,66362
5009,"Arkansas","Boone County",74.1,105700,45374
5011,"Arkansas","Bradley County",55.5,64800,43184
5013,"Arkansas","Calhoun County",53.3,51700,46417
5015,"Arkansas","Carroll County",62.7,119500,46110
5017,"Arkansas","Chicot County",56.3,50700,34147
5019,"Arkansas","Clark County",61.5,78900,41620
5021,"Arkansas","Clay County",59.6,59800,37233
5023,"Arkansas","Cleburne County",67.7,110000,44483
5025,"Arkansas","Cleveland County",52.9,66900,46684
5027,"Arkansas","Columbia County",58.5,76700,36193
5029,"Arkansas","Conway County",54.1,82100,42802
5031,"Arkansas","Craighead County",77.7,107300,47286
5033,"Arkansas","Crawford County",68,98800,46828
5035,"Arkansas","Crittenden County",66.9,101100,40161
5037,"Arkansas","Cross County",62.2,75800,46787
5039,"Arkansas","Dallas County",53.1,59200,38072
5041,"Arkansas","Desha County",46.1,55500,31893
5043,"Arkansas","Drew County",63.3,73100,46997
5045,"Arkansas","Faulkner County",74.5,127500,52827
5047,"Arkansas","Franklin County",53.1,81400,38923
5049,"Arkansas","Fulton County",60.4,78200,35405
5051,"Arkansas","Garland County",72.6,126900,44777
5053,"Arkansas","Grant County",68.7,96600,55388
5055,"Arkansas","Greene County",72,88900,47056
5057,"Arkansas","Hempstead County",61,68100,42860
5059,"Arkansas","Hot Spring County",62.3,77400,43889
5061,"Arkansas","Howard County",60.8,71800,36059
5063,"Arkansas","Independence County",63.2,82400,44319
5065,"Arkansas","Izard County",57.6,76900,42876
5067,"Arkansas","Jackson County",57.2,60100,34109
5069,"Arkansas","Jefferson County",53.8,76200,40726
5071,"Arkansas","Johnson County",59.5,83400,38511
5073,"Arkansas","Lafayette County",50.3,49600,32397
5075,"Arkansas","Lawrence County",59.7,57600,39993
5077,"Arkansas","Lee County",45.3,54200,29681
5079,"Arkansas","Lincoln County",56.1,71900,46596
5081,"Arkansas","Little River County",61.4,73100,45113
5083,"Arkansas","Logan County",66.1,78200,41466
5085,"Arkansas","Lonoke County",74.5,117900,59094
5087,"Arkansas","Madison County",58.7,97700,41682
5089,"Arkansas","Marion County",70.1,91600,36719
5091,"Arkansas","Miller County",70.5,86400,43371
5093,"Arkansas","Mississippi County",60.8,68700,39962
5095,"Arkansas","Monroe County",47.3,55600,38468
5097,"Arkansas","Montgomery County",56.6,75300,35741
5099,"Arkansas","Nevada County",46.7,62300,38042
5101,"Arkansas","Newton County",54.7,77700,38082
5103,"Arkansas","Ouachita County",53.3,61900,35425
5105,"Arkansas","Perry County",62,80200,48667
5107,"Arkansas","Phillips County",55.9,60200,29320
5109,"Arkansas","Pike County",57.9,79400,40401
5111,"Arkansas","Poinsett County",64.7,64900,40921
5113,"Arkansas","Polk County",59.6,79300,37974
5115,"Arkansas","Pope County",67.8,99500,43462
5117,"Arkansas","Prairie County",48.8,74200,42660
5119,"Arkansas","Pulaski County",73,134300,51749
5121,"Arkansas","Randolph County",62.2,68500,37218
5123,"Arkansas","St. Francis County",48.3,66100,35348
5125,"Arkansas","Saline County",77.4,130100,64412
5127,"Arkansas","Scott County",53.2,69500,36092
5129,"Arkansas","Searcy County",52.5,69500,36438
5131,"Arkansas","Sebastian County",68.7,108000,46228
5133,"Arkansas","Sevier County",65.7,73100,47704
5135,"Arkansas","Sharp County",58.4,78000,34671
5137,"Arkansas","Stone County",50.3,89000,38188
5139,"Arkansas","Union County",60,71200,44663
5141,"Arkansas","Van Buren County",58.2,79200,38499
5143,"Arkansas","Washington County",75.3,154900,50451
5145,"Arkansas","White County",69.3,92700,44029
5147,"Arkansas","Woodruff County",50.8,55100,32845
5149,"Arkansas","Yell County",60.9,75300,43923
6001,"California","Alameda County",85.7,590900,99406
6003,"California","Alpine County",87.5,453600,63750
6005,"California","Amador County",79.1,341400,62772
6007,"California","Butte County",80.9,265400,52537
6009,"California","Calaveras County",74.9,350800,63158
6011,"California","Colusa County",74.5,275400,59401
6013,"California","Contra Costa County",88.2,548200,99716
6015,"California","Del Norte County",73.3,240900,45283
6017,"California","El Dorado County",83.5,445700,83377
6019,"California","Fresno County",74.8,257000,53969
6021,"California","Glenn County",64,244200,49633
6023,"California","Humboldt County",79.4,324700,48041
6025,"California","Imperial County",69.8,192600,47622
6027,"California","Inyo County",75.7,290000,57316
6029,"California","Kern County",73.9,217100,53350
6031,"California","Kings County",73.8,220400,57848
6033,"California","Lake County",70.6,265400,47040
6035,"California","Lassen County",72.9,217300,56352
6037,"California","Los Angeles County",79.9,508800,68044
6039,"California","Madera County",72.2,276000,57585
6041,"California","Marin County",88.9,868000,115246
6043,"California","Mariposa County",71.1,278500,48820
6045,"California","Mendocino County",73.8,410600,51416
6047,"California","Merced County",75.2,241000,53672
6049,"California","Modoc County",68.2,158600,45507
6051,"California","Mono County",72,481300,62260
6053,"California","Monterey County",78.3,566300,71015
6055,"California","Napa County",85.9,571500,88596
6057,"California","Nevada County",82.5,444100,66096
6059,"California","Orange County",87.7,607900,90234
6061,"California","Placer County",87,427600,89691
6063,"California","Plumas County",70.4,289100,55359
6065,"California","Riverside County",82.6,325300,67005
6067,"California","Sacramento County",82.8,324200,67151
6069,"California","San Benito County",87.1,542300,86958
6071,"California","San Bernardino County",79.3,319000,63362
6073,"California","San Diego County",86.9,486000,78980
6075,"California","San Francisco County",84.5,785200,112449
6077,"California","San Joaquin County",77.5,318600,64432
6079,"California","San Luis Obispo County",85,513900,73518
6081,"California","San Mateo County",88.3,784800,122641
6083,"California","Santa Barbara County",82.3,576500,74624
6085,"California","Santa Clara County",89.4,701000,124055
6087,"California","Santa Cruz County",85,648700,82234
6089,"California","Shasta County",75.3,267600,54667
6091,"California","Sierra County",69,323300,52148
6093,"California","Siskiyou County",74.6,237400,45241
6095,"California","Solano County",86.1,389800,81472
6097,"California","Sonoma County",85.1,524400,81018
6099,"California","Stanislaus County",79.3,285200,60704
6101,"California","Sutter County",78.8,262200,59050
6103,"California","Tehama County",70.3,221400,44514
6105,"California","Trinity County",64,268200,40846
6107,"California","Tulare County",69.6,211200,49687
6109,"California","Tuolumne County",75.9,332500,60108
6111,"California","Ventura County",85.1,568700,88131
6113,"California","Yolo County",83.5,391300,70228
6115,"California","Yuba County",80,224200,58054
8001,"Colorado","Adams County",79.8,196100,71202
8003,"Colorado","Alamosa County",66.8,131100,37515
8005,"Colorado","Arapahoe County",86.4,232300,77469
8007,"Colorado","Archuleta County",79,304400,52221
8009,"Colorado","Baca County",69,72700,35878
8011,"Colorado","Bent County",70.6,69400,30900
8013,"Colorado","Boulder County",88.5,353300,83019
8014,"Colorado","Broomfield County",91.1,270500,96416
8015,"Colorado","Chaffee County",80.3,248100,55771
8017,"Colorado","Cheyenne County",75.6,80700,53977
8019,"Colorado","Clear Creek County",81,280000,67060
8021,"Colorado","Conejos County",61.6,112200,36084
8023,"Colorado","Costilla County",52.4,105200,30965
8025,"Colorado","Crowley County",75.9,81400,42135
8027,"Colorado","Custer County",76.3,218400,53119
8029,"Colorado","Delta County",70,193900,45269
8031,"Colorado","Denver County",81.1,240900,68592
8033,"Colorado","Dolores County",63.8,136200,45972
8035,"Colorado","Douglas County",94.6,338700,119730
8037,"Colorado","Eagle County",87,530900,84790
8039,"Colorado","Elbert County",87.9,346400,99199
8041,"Colorado","El Paso County",87.8,216800,68779
8043,"Colorado","Fremont County",76.6,152800,49409
8045,"Colorado","Garfield County",82.5,341600,75937
8047,"Colorado","Gilpin County",80.8,316400,76429
8049,"Colorado","Grand County",86.1,269100,71198
8051,"Colorado","Gunnison County",79.9,335100,56577
8053,"Colorado","Hinsdale County",67.9,275000,56339
8055,"Colorado","Huerfano County",60.6,154900,38137
8057,"Colorado","Jackson County",70.9,144300,53300
8059,"Colorado","Jefferson County",86.9,259300,82986
8061,"Colorado","Kiowa County",77.1,62200,41731
8063,"Colorado","Kit Carson County",73.2,102300,49349
8065,"Colorado","Lake County",76.5,168200,50565
8067,"Colorado","La Plata County",77.1,343400,68685
8069,"Colorado","Larimer County",86.6,246000,71881
8071,"Colorado","Las Animas County",65.3,142300,41817
8073,"Colorado","Lincoln County",74.7,103700,47258
8075,"Colorado","Logan County",77.2,119900,53318
8077,"Colorado","Mesa County",82.7,221000,55379
8079,"Colorado","Mineral County",78.7,258300,62188
8081,"Colorado","Moffat County",76,166300,57229
8083,"Colorado","Montezuma County",67.9,191500,49470
8085,"Colorado","Montrose County",72.1,201700,50489
8087,"Colorado","Morgan County",74.5,136200,53682
8089,"Colorado","Otero County",71.9,93800,38169
8091,"Colorado","Ouray County",81.7,405800,66417
8093,"Colorado","Park County",82.1,245800,73622
8095,"Colorado","Phillips County",77.6,111600,51155
8097,"Colorado","Pitkin County",88.1,670200,78935
8099,"Colorado","Prowers County",75.5,83000,41929
8101,"Colorado","Pueblo County",70.4,140700,46783
8103,"Colorado","Rio Blanco County",72.4,193300,54357
8105,"Colorado","Rio Grande County",63,129300,39123
8107,"Colorado","Routt County",88.4,422300,77443
8109,"Colorado","Saguache County",67.2,120500,38571
8111,"Colorado","San Juan County",78.8,252000,54625
8113,"Colorado","San Miguel County",79.5,493000,67038
8115,"Colorado","Sedgwick County",64.3,83100,43150
8117,"Colorado","Summit County",82,465700,79277
8119,"Colorado","Teller County",86.5,226000,66592
8121,"Colorado","Washington County",73.1,114300,50094
8123,"Colorado","Weld County",81,195700,74150
8125,"Colorado","Yuma County",67.8,116200,52022
9001,"Connecticut","Fairfield County",85.6,477700,95645
9003,"Connecticut","Hartford County",80.5,247400,75148
9005,"Connecticut","Litchfield County",83.5,285800,79906
9007,"Connecticut","Middlesex County",83.6,307400,85898
9009,"Connecticut","New Haven County",78.9,273300,69905
9011,"Connecticut","New London County",83,268900,73490
9013,"Connecticut","Tolland County",85.8,266100,87069
9015,"Connecticut","Windham County",78.7,230100,66550
10001,"Delaware","Kent County",80.8,207500,60910
10003,"Delaware","New Castle County",80.8,252800,73892
10005,"Delaware","Sussex County",75.8,243700,63162
11001,"District of Columbia","District of Columbia",77.6,443300,86420
12001,"Florida","Alachua County",81.4,189600,49689
12003,"Florida","Baker County",70.5,137900,63275
12005,"Florida","Bay County",80.4,175500,54316
12007,"Florida","Bradford County",65.4,120500,45921
12009,"Florida","Brevard County",83,186900,56775
12011,"Florida","Broward County",80.9,247500,59547
12013,"Florida","Calhoun County",60.1,89000,38568
12015,"Florida","Charlotte County",79.9,184900,51499
12017,"Florida","Citrus County",78.5,141800,44237
12019,"Florida","Clay County",86,189700,65740
12021,"Florida","Collier County",81.4,357400,69653
12023,"Florida","Columbia County",73.1,134300,46494
12027,"Florida","DeSoto County",50,114100,35438
12029,"Florida","Dixie County",44.4,98200,39828
12031,"Florida","Duval County",78.4,175900,55807
12033,"Florida","Escambia County",80.5,148600,50915
12035,"Florida","Flagler County",78.7,219100,54514
12037,"Florida","Franklin County",68.9,177000,46643
12039,"Florida","Gadsden County",57.9,104500,41401
12041,"Florida","Gilchrist County",62.5,112700,43640
12043,"Florida","Glades County",48.6,106900,40977
12045,"Florida","Gulf County",76.4,131900,47712
12047,"Florida","Hamilton County",61.6,75700,38569
12049,"Florida","Hardee County",54.9,111000,38682
12051,"Florida","Hendry County",61.6,117300,40820
12053,"Florida","Hernando County",78.8,156400,48812
12055,"Florida","Highlands County",67.6,122000,40942
12057,"Florida","Hillsborough County",82.5,198900,58884
12059,"Florida","Holmes County",65.3,87100,39102
12061,"Florida","Indian River County",78.5,198200,54740
12063,"Florida","Jackson County",64.5,97700,39872
12065,"Florida","Jefferson County",66.8,127600,47240
12067,"Florida","Lafayette County",67,162200,50165
12069,"Florida","Lake County",80.4,178400,54513
12071,"Florida","Lee County",79.8,210600,57832
12073,"Florida","Leon County",84.2,196700,53106
12075,"Florida","Levy County",59.3,112100,37326
12077,"Florida","Liberty County",59.3,90700,38015
12079,"Florida","Madison County",56.8,96400,37037
12081,"Florida","Manatee County",77.6,214000,59009
12083,"Florida","Marion County",74.8,150700,45371
12085,"Florida","Martin County",81.6,254900,61133
12086,"Florida","Miami-Dade County",73.2,269600,51347
12087,"Florida","Monroe County",77.6,503900,70033
12089,"Florida","Nassau County",80.8,213600,69943
12091,"Florida","Okaloosa County",80.3,204400,63412
12093,"Florida","Okeechobee County",58.1,136700,41760
12095,"Florida","Orange County",83.3,228600,58254
12097,"Florida","Osceola County",72.1,199200,52279
12099,"Florida","Palm Beach County",80.8,261900,63299
12101,"Florida","Pasco County",78.6,157400,52828
12103,"Florida","Pinellas County",78.7,185700,54090
12105,"Florida","Polk County",64.8,141900,50584
12107,"Florida","Putnam County",62.7,109300,37670
12109,"Florida","St. Johns County",85.2,294100,82252
12111,"Florida","St. Lucie County",79.2,177200,52322
12113,"Florida","Santa Rosa County",84.5,182300,67949
12115,"Florida","Sarasota County",81.5,235100,62236
12117,"Florida","Seminole County",88.7,241000,66768
12119,"Florida","Sumter County",81.6,184000,57226
12121,"Florida","Suwannee County",73.4,111600,47839
12123,"Florida","Taylor County",64.7,87800,40306
12125,"Florida","Union County",57.6,115100,44270
12127,"Florida","Volusia County",75.7,186300,49494
12129,"Florida","Wakulla County",75.2,143500,61410
12131,"Florida","Walton County",77,199800,58093
12133,"Florida","Washington County",66.2,103800,37022
13001,"Georgia","Appling County",49.6,83600,40304
13003,"Georgia","Atkinson County",50.9,54900,37197
13005,"Georgia","Bacon County",61.1,71300,37519
13007,"Georgia","Baker County",44.7,66400,32917
13009,"Georgia","Baldwin County",67.8,112500,43672
13011,"Georgia","Banks County",60.7,146800,47811
13013,"Georgia","Barrow County",78.7,138900,62345
13015,"Georgia","Bartow County",78.3,146800,57423
13017,"Georgia","Ben Hill County",59.5,73100,32229
13019,"Georgia","Berrien County",59.9,76200,40415
13021,"Georgia","Bibb County",67.7,118100,41334
13023,"Georgia","Bleckley County",63.3,71000,48174
13025,"Georgia","Brantley County",59.3,68500,38857
13027,"Georgia","Brooks County",70.2,93000,38285
13029,"Georgia","Bryan County",82.7,187400,72624
13031,"Georgia","Bulloch County",68.7,135500,45550
13033,"Georgia","Burke County",62.1,77000,44151
13035,"Georgia","Butts County",64.4,142900,43471
13037,"Georgia","Calhoun County",60.7,61700,34167
13039,"Georgia","Camden County",82.3,161900,56951
13043,"Georgia","Candler County",52.5,76700,33736
13045,"Georgia","Carroll County",75.3,139900,53737
13047,"Georgia","Catoosa County",77.9,132600,56235
13049,"Georgia","Charlton County",60.4,73400,41961
13051,"Georgia","Chatham County",80.6,177100,56842
13053,"Georgia","Chattahoochee County",75.2,91900,47096
13055,"Georgia","Chattooga County",67.9,80400,36807
13057,"Georgia","Cherokee County",90.4,201900,82740
13059,"Georgia","Clarke County",76.2,161400,38623
13061,"Georgia","Clay County",54.6,58500,22325
13063,"Georgia","Clayton County",75.2,127800,47864
13065,"Georgia","Clinch County",45.2,76700,27658
13067,"Georgia","Cobb County",87.6,211000,77932
13069,"Georgia","Coffee County",59.3,77700,40859
13071,"Georgia","Colquitt County",67.8,84300,36435
13073,"Georgia","Columbia County",80.2,168700,82339
13075,"Georgia","Cook County",59.8,80000,41854
13077,"Georgia","Coweta County",81.5,177900,75913
13079,"Georgia","Crawford County",64.8,92400,46283
13081,"Georgia","Crisp County",55.1,93900,36042
13083,"Georgia","Dade County",68.6,123400,42581
13085,"Georgia","Dawson County",81,201400,66281
13087,"Georgia","Decatur County",52.7,98900,41481
13089,"Georgia","DeKalb County",81,190000,62399
13091,"Georgia","Dodge County",53,75500,39302
13093,"Georgia","Dooly County",53.7,66000,37340
13095,"Georgia","Dougherty County",68.7,100300,39584
13097,"Georgia","Douglas County",77.7,157300,63835
13099,"Georgia","Early County",52,75000,30640
13101,"Georgia","Echols County",47.7,73800,39494
13103,"Georgia","Effingham County",80.3,153500,66822
13105,"Georgia","Elbert County",52.8,81400,38678
13107,"Georgia","Emanuel County",59.4,77800,37453
13109,"Georgia","Evans County",63.7,91500,42607
13111,"Georgia","Fannin County",74.6,172400,47997
13113,"Georgia","Fayette County",88.7,252700,90145
13115,"Georgia","Floyd County",75.5,118300,48336
13117,"Georgia","Forsyth County",91.2,276700,107218
13119,"Georgia","Franklin County",59.5,124300,42488
13121,"Georgia","Fulton County",80.9,253100,69673
13123,"Georgia","Gilmer County",71.7,137600,52625
13125,"Georgia","Glascock County",61.9,69500,45000
13127,"Georgia","Glynn County",75.9,180900,52977
13129,"Georgia","Gordon County",68.6,123200,45865
13131,"Georgia","Grady County",67.9,90800,43531
13133,"Georgia","Greene County",64.9,124300,52129
13135,"Georgia","Gwinnett County",85.8,194200,71026
13137,"Georgia","Habersham County",62.5,144600,50563
13139,"Georgia","Hall County",78.8,175200,62984
13141,"Georgia","Hancock County",43.6,73800,31860
13143,"Georgia","Haralson County",68.6,109000,48550
13145,"Georgia","Harris County",76.9,196000,76319
13147,"Georgia","Hart County",61.1,129900,43204
13149,"Georgia","Heard County",59.9,95300,51358
13151,"Georgia","Henry County",87.3,171500,71288
13153,"Georgia","Houston County",76.9,132500,61723
13155,"Georgia","Irwin County",59,77500,37736
13157,"Georgia","Jackson County",74.8,166000,65385
13159,"Georgia","Jasper County",63,121800,51250
13161,"Georgia","Jeff Davis County",52.1,74000,36669
13163,"Georgia","Jefferson County",44.2,74500,33944
13165,"Georgia","Jenkins County",46.6,69700,27375
13167,"Georgia","Johnson County",54.8,64000,42446
13169,"Georgia","Jones County",77.7,135200,56020
13171,"Georgia","Lamar County",67.5,114100,44846
13173,"Georgia","Lanier County",50.1,81300,40986
13175,"Georgia","Laurens County",54.5,88800,39120
13177,"Georgia","Lee County",83,145300,69280
13179,"Georgia","Liberty County",80.2,120300,48007
13181,"Georgia","Lincoln County",53.7,98100,39742
13183,"Georgia","Long County",76.7,75700,54605
13185,"Georgia","Lowndes County",66.2,128800,42441
13187,"Georgia","Lumpkin County",75.1,170400,51790
13189,"Georgia","McDuffie County",57.5,93600,43468
13191,"Georgia","McIntosh County",69,103400,49504
13193,"Georgia","Macon County",56.7,69000,32161
13195,"Georgia","Madison County",66.9,128100,52500
13197,"Georgia","Marion County",52.4,75900,44643
13199,"Georgia","Meriwether County",54.4,95600,37121
13201,"Georgia","Miller County",44.7,80200,44542
13205,"Georgia","Mitchell County",58.4,76800,38116
13207,"Georgia","Monroe County",70.1,152400,54754
13209,"Georgia","Montgomery County",68.8,80300,41996
13211,"Georgia","Morgan County",71.5,169400,66178
13213,"Georgia","Murray County",73.6,98300,48033
13215,"Georgia","Muscogee County",72.4,131900,46408
13217,"Georgia","Newton County",80.2,148600,56316
13219,"Georgia","Oconee County",83.4,228700,90751
13221,"Georgia","Oglethorpe County",61.6,134400,47120
13223,"Georgia","Paulding County",82.9,149600,68370
13225,"Georgia","Peach County",72.2,113900,46636
13227,"Georgia","Pickens County",80.8,170600,67631
13229,"Georgia","Pierce County",61,75400,42804
13231,"Georgia","Pike County",74.8,153300,64878
13233,"Georgia","Polk County",69.2,108300,44891
13235,"Georgia","Pulaski County",58.8,79000,45148
13237,"Georgia","Putnam County",75.9,157600,51606
13239,"Georgia","Quitman County",45.5,66700,26667
